audio_path,wav_path,csv_path,qmax_ml_s,duration_s_audio,max_freq_at_max_energy,avg_freq_above_80pct_energy,max_audio_energy,mean_audio_energy,std_audio_energy,max_log_audio_energy,mean_log_audio_energy,std_log_audio_energy,energy_slope,log_energy_slope,time_of_max_energy_s,dominant_freq_at_peak_energy,mean_dominant_freq,std_dominant_freq,max_dominant_freq,mean_mel_power_emax_window_unlogged,flow_eq_from_mel_emax_window
C:\school\project\healthy_dataset\included\audio\Rec_data_45.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_45.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_45.csv,19.364012271575355,24.021360544217686,340.5972326730014,340.5972326730014,0.07794973999261856,0.01680484414100647,0.016595158725976944,-2.5516908168792725,-4.560215950012207,0.9681649804115295,-0.00029496454263774896,-0.003993203430215549,9.195102040816327,753.662109375,589.9550914764404,985.1376616311472,10443.603515625,0.3459164500236511,25.32235293357694
C:\school\project\healthy_dataset\included\audio\Rec_data_46.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_46.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_46.csv,13.676492819349988,20.778684807256237,340.5972326730014,406.09670049473243,0.09383652359247208,0.01641158200800419,0.01436858531087637,-2.366201162338257,-4.446090221405029,0.8049476742744446,-0.0004929988633670279,-0.0256728474208987,6.826666666666667,5792.431640625,559.2685084466601,1018.259321223562,9054.7119140625,0.3201407492160797,24.56779969486972
C:\school\project\healthy_dataset\included\audio\Rec_data_47.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_47.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_47.csv,8.492997198879575,23.14666666666667,183.3985099008469,183.3985099008469,0.11378804594278336,0.02354556880891323,0.018292484804987907,-2.173417806625366,-4.018938064575195,0.7229447960853577,-0.0003348870556572307,-0.011123380805736244,8.289523809523809,1248.92578125,548.739596419598,1129.5401747786505,10357.470703125,0.7809305787086487,34.80610388677989
C:\school\project\healthy_dataset\included\audio\Rec_data_49.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_49.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_49.csv,15.459161442354725,20.330702947845804,183.3985099008469,523.9957425738484,0.12300735712051392,0.02979406528174877,0.027237139642238617,-2.095510959625244,-3.9199140071868896,0.8993539214134216,-0.0009104051547835526,-0.022487071681051535,7.662585034013605,5178.7353515625,652.389533350615,1177.7459541970309,10411.3037109375,0.8647202849388123,36.21988068661857
C:\school\project\healthy_dataset\included\audio\Rec_data_55.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_55.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_55.csv,32.836245609354904,24.426666666666666,471.59616831646343,471.59616831646343,0.18360669910907745,0.06498599797487259,0.045757561922073364,-1.694959282875061,-3.0911803245544434,0.9544393420219421,-0.004842560255807481,-0.1040188640329046,5.131609977324263,506.0302734375,605.9042876621462,481.9349388777079,6449.1943359375,3.57639217376709,63.06847828485265
C:\school\project\healthy_dataset\included\audio\Rec_data_56.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_56.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_56.csv,11.229469565604045,21.18403628117914,471.59616831646343,471.59616831646343,0.14572224020957947,0.02919611893594265,0.027407368645071983,-1.9260528087615967,-3.9432172775268555,0.8954652547836304,-0.0003264957736894014,-0.004590125870236547,8.986122448979591,2304.052734375,403.54772853100394,529.4576514905873,5824.7314453125,0.7550144791603088,34.3502212303758
C:\school\project\healthy_dataset\included\audio\Rec_data_57.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_57.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_57.csv,11.596371882086185,24.426666666666666,471.59616831646343,497.79595544515587,0.10418995469808578,0.022220833227038383,0.02177152968943119,-2.2615394592285156,-4.226406097412109,0.8826319575309753,4.0247862057235196e-05,0.005915148441384699,11.075918367346938,495.263671875,371.44775390625,549.2752395219,6675.29296875,0.8543062806129456,36.04884672691551
C:\school\project\healthy_dataset\included\audio\Rec_data_58.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_58.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_58.csv,20.85189631408124,24.85333333333333,471.59616831646343,497.79595544515587,0.12805497646331787,0.0339810736477375,0.026600351557135582,-2.055295467376709,-3.744611978530884,0.9257675409317017,-0.0005770758464248232,0.0030298488794141517,6.548027210884354,1690.3564453125,673.8934860338952,765.5317778181955,7730.419921875,1.2925750017166138,42.37868064370334
C:\school\project\healthy_dataset\included\audio\Rec_data_59.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_59.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_59.csv,22.266684451558433,24.68267573696145,471.59616831646343,497.79595544515587,0.11736170947551727,0.022607576102018356,0.023631364107131958,-2.1424944400787354,-4.304599761962891,1.0223947763442993,-0.00023286613878996254,0.0006254922834719803,10.00780045351474,495.263671875,488.45744837468595,702.7141450937432,7127.490234375,1.1220353841781616,40.09978612599759
C:\school\project\healthy_dataset\included\audio\Rec_data_60.m4a,C:\school\project\everything everything\06_gradient_boosting_training_outputs\wav_files\Rec_data_60.wav,C:\school\project\healthy_dataset\included\scale\scale_log_data_60.csv,33.30781201369446,27.07201814058957,471.59616831646343,471.59616831646343,0.12242646515369415,0.03939046338200569,0.03315259516239166,-2.1002447605133057,-3.7162816524505615,1.091975450515747,-0.003279613732303917,-0.11592091590505706,4.4117913832199545,549.0966796875,735.70306496542,894.777670085734,8161.083984375,1.6141949892044067,46.22167053101152
